name,user_score,critics,users,rating,rating_top,playtime,achievements_count,ratings_count,suggestions_count,game_series_count,reviews_count,added_status_yet,added_status_owned,added_status_beaten,added_status_toplay,added_status_dropped,added_status_playing,released_year,released_month,released_day,updated_year,updated_month,updated_day,is_in_top_100_publisher,is_in_top_100_developer,genery,platform,publisher,developer
Call of Duty: Advanced Warfare,4.7,18,1249,3.43,4,8,165,536,607,24,538,40,1570,557,59,118,7,2014,11,3,2020,5,8,0,0,Action,Xbox 360,Activision Blizzard,Raven Software
MotorStorm RC,6.8,39,130,3.08,3,5,60,62,642,0,63,13,476,25,1,37,0,2012,2,22,2019,9,17,1,0,Driving,PlayStation 3,Sony Computer Entertainment,Sony Interactive Entertainment
Teleglitch: Die More Edition,7.0,18,49,2.75,3,2,39,101,366,0,101,110,1913,10,1,51,2,2013,7,24,2019,9,17,1,0,Action,Linux,Paradox Interactive,Test3 Projects
Project Warlock,8.4,13,46,3.74,4,1,57,40,261,0,42,44,594,16,25,23,1,2018,10,17,2020,12,16,0,0,Action,PC,Crunching Koalas,Buckshot Software
Zero Escape: Zero Time Dilemma,7.7,8,65,4.08,4,9,41,127,376,3,129,83,440,134,25,9,9,2016,6,28,2019,9,17,0,0,Adventure,PC,Aksys Games,Aksys Games
LEGO Marvel Super Heroes,8.1,7,170,3.81,4,7,228,420,530,3,422,71,1675,336,28,129,16,2013,10,22,2019,9,17,1,1,Action Adventure,iOS,Feral Interactive,Feral Interactive
League of Legends,5.3,37,3792,3.64,4,131,0,324,511,1,331,8,162,77,5,156,186,2009,10,27,2020,4,8,0,0,Role-Playing,macOS,Riot Games,Riot Games
Rabbids Go Home,8.4,50,47,4.07,4,0,0,15,325,0,15,1,4,17,1,4,0,2009,11,1,2019,10,31,1,0,Action Adventure,Nintendo DS,Ubisoft Entertainment,Ubisoft Montpellier
"Warhammer 40,000: Mechanicus",8.2,19,70,3.4,4,3,66,46,548,0,47,62,618,7,14,17,7,2018,11,15,2020,12,16,0,0,Action,PC,Kalypso Media,Bulwark Studios
The Movies: Stunts & Effects,7.4,37,20,3.78,4,8,0,9,468,0,9,1,5,5,0,3,0,2006,6,6,2019,1,9,1,0,Strategy,PC,Activision Blizzard,Lionhead Studios
Golf Peaks,7.8,22,16,3.83,4,1,11,6,106,0,6,6,27,6,2,1,1,2018,11,11,2019,10,22,0,0,Sports,iOS,7Levels,Afterburn
Deus Ex: Human Revolution - The Missing Link,7.3,10,23,3.86,4,4,10,127,579,0,127,25,783,119,9,8,1,2011,10,18,2019,9,17,1,0,Action Adventure,PC,Square Enix,Eidos Montreal
Dynasty Warriors 4,9.0,24,210,3.67,4,30,0,15,585,0,15,0,7,18,0,6,0,2005,3,30,2019,7,23,1,0,Action,PlayStation 2,Koei,Omega Force
The Thing,6.1,21,17,3.77,4,0,0,30,522,0,30,11,12,19,12,18,3,2002,8,20,2019,9,7,1,0,Action Adventure,PC,Vivendi Universal Games,Computer Artworks
Tropico: Paradise Island,7.5,15,23,0.0,0,0,0,3,451,0,3,2,4,3,1,1,0,2002,1,1,2019,8,24,0,0,Strategy,PC,Take Two Interactive,BreakAway Games
Cool Boarders 2001,5.6,16,5,0.0,0,0,0,3,194,0,3,1,3,2,1,1,0,2000,10,23,2019,9,12,1,0,Sports,PlayStation,Sony Computer Entertainment,Idol Minds
Ridge Racer V,7.5,20,11,0.0,0,0,0,3,0,0,3,0,0,2,1,1,0,2000,3,4,2020,1,17,0,1,Driving,PlayStation 2,Sony Interactive Entertainment,NAMCO
Apollo Justice: Ace Attorney,8.1,48,102,4.14,4,14,0,69,228,8,70,18,12,104,6,1,7,2007,4,12,2020,1,16,0,1,Adventure,iOS,Capcom,Capcom
The Surge 2,6.8,15,64,3.64,4,4,84,72,303,1,74,50,315,29,135,38,8,2019,9,24,2020,1,23,1,0,Role-Playing,Xbox One,Focus Home Interactive,Focus Home Interactive
The Tomb Raider Trilogy,8.4,37,70,0.0,0,0,0,4,640,0,4,2,1,5,0,1,0,2011,3,22,2019,1,9,1,0,Miscellaneous,PlayStation 3,Square Enix,Crystal Dynamics
1001 Spikes,6.5,8,37,3.67,4,1,59,18,378,0,18,17,286,6,5,14,0,2014,6,3,2019,9,17,0,0,Action,macOS,Nicalis,Nicalis
The Walking Dead: 400 Days,7.6,12,179,3.64,4,0,0,82,134,0,83,8,17,109,7,2,1,2013,7,2,2020,4,1,1,1,Action,PlayStation 4,Telltale Games,Telltale Games
Sairento VR,7.7,12,40,3.2,3,2,69,10,403,0,10,7,87,0,1,3,1,2016,12,21,2019,8,28,0,0,Action,PC,Mixed Realms Pte,Mixed Realms Pte
Skylanders Imaginators,5.2,14,18,0.0,3,0,128,5,548,0,5,1,47,1,3,3,0,2016,6,17,2019,8,2,1,0,Action,Wii U,Activision Blizzard,Activision
Warp,7.3,7,11,3.82,4,2,17,21,385,0,22,10,162,15,0,10,0,2012,1,24,2019,9,17,1,0,Action,Xbox 360,Electronic Arts,Electronic Arts
Wild Arms 3,8.4,30,49,3.92,4,0,18,13,462,0,13,14,57,5,7,7,2,2002,3,14,2019,8,2,0,0,Role-Playing,PlayStation 4,Ubisoft Entertainment,Media.Vision
Tales of Xillia,8.6,65,463,3.96,4,104,78,71,637,0,72,22,217,76,11,10,4,2013,8,6,2019,9,17,1,0,Role-Playing,PlayStation 3,Bandai Namco Entertainment,BANDAI NAMCO Entertainment America
Ken Follett's The Pillars of the Earth,7.9,20,61,3.75,4,4,67,65,559,0,67,96,888,22,23,26,9,2017,8,15,2020,2,21,1,1,Adventure,iOS,Daedalic Entertainment,Daedalic Entertainment
Shadow Warrior 2,5.6,12,21,3.49,4,6,137,388,715,4,391,232,1669,152,62,131,21,2016,10,12,2019,9,17,1,0,Action,PC,Devolver Digital,Devolver Digital
Pro Evolution Soccer 2011,5.9,9,9,3.41,4,11,68,32,607,18,32,3,159,21,0,18,1,2010,10,8,2020,6,3,1,1,Sports,Nintendo 3DS,Konami,Konami Digital Entertainment
"Blast Works: Build, Trade, Destroy",7.7,30,18,0.0,0,0,0,1,219,0,1,0,1,0,0,0,0,2008,6,10,2019,9,12,1,0,Action,Wii,Majesco Entertainment,Budcat Creations
Pro Evolution Soccer 2011,5.9,9,9,3.41,4,11,68,32,607,18,32,3,159,21,0,18,1,2010,10,8,2020,6,3,1,1,Sports,Nintendo 3DS,Konami,Konami Digital Entertainment
"Blast Works: Build, Trade, Destroy",7.7,30,18,0.0,0,0,0,1,219,0,1,0,1,0,0,0,0,2008,6,10,2019,9,12,1,0,Action,Wii,Majesco Entertainment,Budcat Creations
In Other Waters,6.6,26,19,0.0,0,1,0,4,74,0,4,4,52,2,28,2,1,2020,4,2,2020,12,16,0,0,Adventure,Nintendo Switch,Fellow Traveller,Jump Over The Age
LEGO Star Wars: The Force Awakens,7.4,61,150,3.67,4,5,385,187,403,0,191,45,700,123,17,54,15,2016,6,27,2020,9,19,1,1,Action Adventure,PS Vita,Feral Interactive,Feral Interactive
Yonder: The Cloud Catcher Chronicles,7.3,8,6,3.56,4,4,187,38,354,0,41,10,157,18,19,15,4,2017,7,17,2019,9,17,0,0,Action Adventure,PC,Prideful Sloth,Prideful Sloth
Arcade Spirits,5.4,7,7,0.0,0,4,43,4,337,0,4,7,22,3,3,0,2,2019,2,12,2020,12,16,0,0,Adventure,Linux,PQube,Fiction Factory Games
Runner3,6.7,7,7,3.53,4,6,33,12,528,0,15,8,71,10,5,0,4,2018,5,22,2019,8,2,0,0,Action,macOS,Choice Provisions,Choice Provisions
Dungeon of the Endless,7.4,13,21,3.71,4,4,119,199,438,4,200,96,1634,61,14,75,13,2014,10,27,2020,12,16,0,0,Strategy,Nintendo Switch,Playdigious,Amplitude Studios
Blaster Master Zero,7.7,23,128,3.48,4,4,2,21,423,0,21,4,21,15,3,5,3,2017,3,9,2020,7,3,0,0,Action,PlayStation 4,Inti Creates,Inti Creates
Unravel,8.1,74,418,3.98,4,1,68,503,495,0,504,104,1325,284,116,153,36,2016,2,9,2020,9,10,1,0,Action,PC,Electronic Arts,Electronic Arts
Blackwood Crossing,6.7,14,10,3.29,4,2,82,24,570,0,24,11,86,24,16,3,1,2017,4,3,2019,9,17,0,0,Adventure,PC,Vision Games Publishing,Vision Games Publishing
Candleman,7.1,13,33,3.94,4,3,67,16,327,0,16,5,69,8,3,2,2,2017,2,1,2019,11,19,0,0,Action,Nintendo Switch,CMGE Group,中手游
Burnout Paradise Remastered,7.8,35,50,3.91,4,2,302,269,374,0,270,28,1012,82,43,99,42,2018,3,16,2020,12,16,1,0,Racing,Nintendo Switch,Electronic Arts,Electronic Arts
Arc the Lad Collection,8.7,14,24,0.0,0,0,0,0,30,0,0,0,2,0,4,0,0,2002,4,18,2019,9,12,0,0,Miscellaneous,PlayStation,Working Designs,Sony Interactive Entertainment
